Longitude,Latitude,Sample_ID,Elevation,Slope,AR,TWI,HCP1,PRP1,HCP2,PRP2,NDVI,NDRE,TC,K40,U238,Th232,pH,SOM,P,K,Mg,Ca,Zn,Mn,CEC,SatK,SatMg,SatCa,RatioKMg
-80.175673,43.573158,53,352.5,1.12,200.54,5.71,6.71,5.07,3.48,4.8,0.79,0.56,346.98,329.84,16.36,19.51,7.5,3.8,65,352,352,1897,11.6,17.5,14,6.2,20,65,1
-80.175147,43.573602,54,349.27,10.86,38.63,3,7,4.77,6.95,4.86,0.75,0.53,359.77,336.91,23.25,18.02,7.5,4,48,249,325,1690,16,17.8,13,4.9,21,65,0.8
-80.174634,43.574103,55,344.48,1.35,260.89,6.66,7.45,4.65,5.48,4.97,0.8,0.57,388.79,385.11,17.78,20.4,7.3,3.6,15,79,207,1905,2.7,20.2,13,1.6,14,75,0.4
-80.174031,43.574414,56,347.47,7.08,211.54,4.35,7.59,4.94,5.02,5.18,0.77,0.54,358.98,343.07,16.22,19.25,7.6,3.2,27,128,285,1616,4.5,18,12,2.7,20,67,0.4
-80.173558,43.574707,57,350.33,4.87,219.48,4.59,7.62,4.23,4.93,4.68,0.75,0.54,393.57,397.82,23.14,20.73,7.4,2.9,37,139,244,1516,4.1,15.9,11,3.2,18,68,0.6
-80.173086,43.574365,58,349.93,2.05,181.44,5.41,7.84,5.46,4.28,5.24,0.72,0.51,384.97,366.72,19.54,19.98,7.6,2.9,42,107,209,1912,4.4,18.2,13,2.1,14,75,0.5
-80.173685,43.574031,59,346.56,2.22,278.47,5.41,6.01,4.31,3.98,4.26,0.75,0.54,334.11,308.32,16.82,17.24,7.7,3.2,39,159,247,1582,8.2,21.8,12,3.5,18,68,0.6
-80.174287,43.573532,60,346.01,5.95,42.98,4.65,9.11,5.52,7.95,6.58,0.78,0.56,396.02,381.34,20.72,20.63,7.2,4.6,26,257,312,1803,5.7,16.1,14,4.9,19,67,0.8
-80.174755,43.573169,61,349.58,7.31,55.74,3.39,7.64,5.75,7.39,5.63,0.75,0.54,358.7,326.72,17.18,16.77,7.6,4.6,52,238,376,2063,14,16.5,15,4,21,68,0.6
-80.175256,43.572948,62,350.95,4.03,126.99,5.3,8.89,6.37,5.64,6.65,0.78,0.55,375.84,385.19,19.24,20.26,7.4,4.4,48,216,287,1605,5.9,16.5,12,4.6,20,66,0.8
